"domain","spec","outcome","term","coef","se","p_value","ci_low","ci_high","effect","ci_low_effect","ci_high_effect","effect_scale","n_obs","n_units","notes"
"subway_existing_lines","base_two_way_fe","log_avg_daily_riders","did",-0.11672832601411415,0.058342004717864195,0.05685257833777756,-0.23714030563380953,0.003683653605581233,-11.017309684970577,-21.111940413957754,0.3690446595971064,"percent",2075,25,"Unit and month fixed effects."
"subway_existing_lines","plus_covid_diff","log_avg_daily_riders","did",-0.12148440780851542,0.07528793299044426,0.11968771459343983,-0.27687106441544046,0.033902248798409626,-11.439513823820036,-24.184775638841305,3.4483479782384086,"percent",2075,25,"Adds treated-by-COVID-period level shift."
"subway_existing_lines","plus_baseline_x_post","log_avg_daily_riders","did",-0.12796215610280637,0.04758704402577633,0.012825499495672372,-0.22617698781973566,-0.029747324385877086,-12.011332314447676,-20.242307222850485,-2.9309227548689254,"percent",2075,25,"Adds pre-COVID baseline ridership interacted with post."
"subway_existing_lines","plus_unit_linear_trend","log_avg_daily_riders","did",-0.08586804414986535,0.05321682234048815,0.11969786353532907,-0.195702167232813,0.023966078933082308,-8.228467886390401,-17.77429066816445,2.4255573459492696,"percent",2075,25,"Adds station-line-specific linear trends."
"subway_existing_lines","combined_controls","log_avg_daily_riders","did",-0.08762157466547257,0.039799237760917754,0.0375507333992022,-0.16976316423412252,-0.005479985096822626,-8.389251058117697,-15.613534973768829,-0.5464997368499036,"percent",2075,25,"Combines COVID shift, baseline-post, and unit trends."
"commerce_core_treated","base_two_way_fe","log_sales","did",-0.1005962862967744,0.06336764969031086,0.1308230627808735,-0.23429034074407679,0.033097768150527965,-9.570196328839597,-20.886791533109573,3.3651592505819172,"percent",414,18,"Dong and quarter fixed effects."
"commerce_core_treated","base_two_way_fe","log_transactions","did",-0.11247710169236624,0.07108451097130733,0.13200609447977013,-0.2624523102822937,0.03749810689756122,-10.638219079025667,-23.083695533760284,3.8210031642021747,"percent",414,18,"Dong and quarter fixed effects."
"commerce_core_treated","base_two_way_fe","night_share","did",0.014077056996274866,0.006621142845205752,0.04844613371306054,1.0766667840016522e-4,0.028046447314149566,1.4077056996274866,0.010766667840016522,2.8046447314149567,"percentage points",414,18,"Dong and quarter fixed effects."
"commerce_core_treated","base_two_way_fe","age20_30_share","did",0.01632930123779601,0.014399169073938605,0.27251495042333157,-0.014050289982255382,0.0467088924578474,1.632930123779601,-1.4050289982255382,4.67088924578474,"percentage points",414,18,"Dong and quarter fixed effects."
"commerce_core_treated","plus_covid_diff","log_sales","did",-0.1260072243331266,0.08298992771791669,0.1473053379609736,-0.30110066663564816,0.04908621796939491,-11.839152227292038,-25.999672464302904,5.031090250962489,"percent",414,18,"Adds treated-by-COVID-period level shift."
"commerce_core_treated","plus_covid_diff","log_transactions","did",-0.16805406800984135,0.09785189548145382,0.10406043007697918,-0.37450352141713006,0.038395385397447385,-15.469187067918423,-31.23694120825471,3.9142013242777773,"percent",414,18,"Adds treated-by-COVID-period level shift."
"commerce_core_treated","plus_covid_diff","night_share","did",0.005360255568625493,0.010051372842779948,0.6007389712898018,-0.015846287433682386,0.02656679857093337,0.5360255568625493,-1.5846287433682387,2.6566798570933368,"percentage points",414,18,"Adds treated-by-COVID-period level shift."
"commerce_core_treated","plus_covid_diff","age20_30_share","did",0.0020042889816802253,0.017619525609841893,0.9107655429736677,-0.03516966062399726,0.03917823858735771,0.20042889816802253,-3.5169660623997263,3.9178238587357708,"percentage points",414,18,"Adds treated-by-COVID-period level shift."
"commerce_core_treated","plus_baseline_x_post","log_sales","did",0.023756921040366384,0.06250245730880678,0.7085813415648047,-0.10811173704261595,0.15562557912334873,2.4041364724650016,-10.247269621925437,16.838865207748377,"percent",414,18,"Adds 2019 baseline sales interacted with post."
"commerce_core_treated","plus_baseline_x_post","log_transactions","did",-0.09005757726562484,0.0680398903290174,0.2031609060362133,-0.23360919779585615,0.05349404326460645,-8.612143487251245,-20.832885772371,5.4950707686656,"percent",414,18,"Adds 2019 baseline sales interacted with post."
"commerce_core_treated","plus_baseline_x_post","night_share","did",0.009934733089397154,0.006652806412229727,0.15368241852801331,-0.004101461515434498,0.023970927694228806,0.9934733089397154,-0.4101461515434498,2.3970927694228807,"percentage points",414,18,"Adds 2019 baseline sales interacted with post."
"commerce_core_treated","plus_baseline_x_post","age20_30_share","did",0.012865325201699602,0.014179576247227559,0.37692302198481464,-0.017050965651776374,0.04278161605517558,1.2865325201699602,-1.7050965651776373,4.278161605517558,"percentage points",414,18,"Adds 2019 baseline sales interacted with post."
"commerce_core_treated","plus_unit_linear_trend","log_sales","did",-0.011648141392081346,0.03588726038001921,0.7494618633459845,-0.08736364238760623,0.06406735960344355,-1.1580564429631512,-8.365618641315553,6.616421274137352,"percent",414,18,"Adds dong-specific linear trends."
