"domain_label","spec_label","effect","ci_low_effect","ci_high_effect","p_value","effect_scale"
"Commerce core dongs","Base",-9.570196328839597,-20.886791533109573,3.3651592505819172,0.1308230627808735,"percent"
"Commerce core dongs","COVID shift",-11.839152227292038,-25.999672464302904,5.031090250962489,0.1473053379609736,"percent"
"Commerce core dongs","Baseline x post",2.4041364724650016,-10.247269621925437,16.838865207748377,0.7085813415648047,"percent"
"Commerce core dongs","Unit trend",-1.1580564429631512,-8.365618641315553,6.616421274137352,0.7494618633459845,"percent"
"Commerce core dongs","Combined",6.111039037366273,-7.9103338528258345,22.267275761374616,0.38953800459964016,"percent"
"Commerce secondary corridor","Base",-7.675023115024282,-22.29653090929672,9.697822459655537,0.33920205356046373,"percent"
"Commerce secondary corridor","COVID shift",-8.954733305727236,-27.06297543093149,13.649283562173098,0.3814737297823326,"percent"
"Commerce secondary corridor","Baseline x post",0.9335094133198218,-10.699026092488829,14.081323827889825,0.8736691520819425,"percent"
"Commerce secondary corridor","Unit trend",-1.7053267115257786,-9.551088780136174,6.820996146673508,0.6656966088178182,"percent"
"Commerce secondary corridor","Combined",5.192043490836351,-6.409869935257218,18.23218972046865,0.3705116803540307,"percent"
"Gyeonggi original corridor","Base",38.722825652368556,-1.3390817727019333,95.05213110466366,0.05890812190195856,"percent"
"Gyeonggi original corridor","Baseline x post",41.55332805275114,1.0035171596156856,98.38264296425241,0.04415004182868178,"percent"
"Gyeonggi original corridor","Unit trend",39.566508249267194,0.06448946237140873,94.66256540705827,0.04959650070804625,"percent"
"Gyeonggi original corridor","Combined",47.188977476096674,7.287507450545916,101.93026760776571,0.018960971118673457,"percent"
"Subway existing lines","Base",-11.017309684970577,-21.111940413957754,0.3690446595971064,0.05685257833777756,"percent"
"Subway existing lines","COVID shift",-11.439513823820036,-24.184775638841305,3.4483479782384086,0.11968771459343983,"percent"
"Subway existing lines","Baseline x post",-12.011332314447676,-20.242307222850485,-2.9309227548689254,0.012825499495672372,"percent"
"Subway existing lines","Unit trend",-8.228467886390401,-17.77429066816445,2.4255573459492696,0.11969786353532907,"percent"
"Subway existing lines","Combined",-8.389251058117697,-15.613534973768829,-0.5464997368499036,0.0375507333992022,"percent"
