"outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","n_obs","n_units","hypothesis","treated_definition","control_definition"
"log_total_avg_pop","did",0.8482800363512952,0.2882155038183693,0.007764641439037151,0.24890308434545094,1.4476569883571395,133.56262030659957,28.261772131003383,325.3137680708734,NA,NA,NA,1936,22,"original_shinbundang_south_corridor_activity","Pangyo/Jeongja/Migeum corridor dongs","Other Bundang-gu dongs"
"log_weekday_avg_pop","did",0.8572498083811213,0.29151118314341085,0.007808984231056393,0.25101911602313787,1.4634805007391047,135.6670477731448,28.533465458334884,332.09725349008903,NA,NA,NA,1936,22,"original_shinbundang_south_corridor_activity","Pangyo/Jeongja/Migeum corridor dongs","Other Bundang-gu dongs"
"log_weekend_avg_pop","did",0.8043574836993526,0.2841691919156509,0.010018037761860827,0.21339529794648793,1.3953196694522172,123.52598464456025,23.787388354514437,303.62646369296345,NA,NA,NA,1936,22,"original_shinbundang_south_corridor_activity","Pangyo/Jeongja/Migeum corridor dongs","Other Bundang-gu dongs"
"weekend_share","did",-0.011585718980290236,0.010487349287525684,0.2817727203108077,-0.03339535575312362,0.010223917792543145,NA,NA,NA,-1.1585718980290236,-3.339535575312362,1.0223917792543145,1936,22,"original_shinbundang_south_corridor_activity","Pangyo/Jeongja/Migeum corridor dongs","Other Bundang-gu dongs"
