"control_set","pct_effect","p_value","n_units"
"all_controls",-11.017309684970575,0.05685257833777756,25
"drop_9line_phase_controls",-8.053797007370056,0.19229693797172737,22
"core_area_controls",-17.047212783829657,5.020840259578597e-4,17
