"domain","outcome","wald_joint_p","linear_pretrend_p","pre_coef_mean","pre_coef_min","pre_coef_max","pre_coef_abs_mean","n_pre_periods"
"subway","log_avg_daily_riders",2.3266648147108558e-288,0.767666215495566,0.006092419297385852,-0.04564282720854235,0.06389796035597632,0.02344820070339982,53
"commerce","log_sales",1.5330233303464357e-8,NA,-0.030294871799306455,-0.11384672202419624,0.05051951414895008,0.04576796185866956,13
"commerce","log_transactions",1.4457993689298524e-8,NA,0.05895089386140891,-0.03935377095730386,0.1477805172167954,0.068299040850740525,13
"commerce","night_share",4.808829193994566e-10,NA,0.016590565491290912,0,0.02924717629787184,0.016590565491290912,13
"commerce","night_tx_share",2.421136567755554e-9,NA,0.02030897576850445,-0.00327417228916701,0.04103669768579746,0.020840545001190675,13
