"spec","treated_group","outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","n_obs","n_units"
"secondary_only_vs_local_controls","secondary","log_sales","did",-0.07985547561531528,0.08089086936775396,0.33920205356046373,-0.2522702823691496,0.09255933113851902,-7.675023115024282,-22.29653090929672,9.697822459655537,NA,NA,NA,368,16
"secondary_only_vs_local_controls","secondary","log_transactions","did",-0.0949523866092499,0.027882615477856778,0.003913903766230844,-0.15438277469854567,-0.03552199851995412,-9.058376617209573,-14.305605823373401,-3.489849680820012,NA,NA,NA,368,16
"secondary_only_vs_local_controls","secondary","log_avg_ticket","did",0.01509672449737862,0.0769681254549057,0.8471311427090359,-0.1489569515260679,0.17915040052082512,1.5211255665339873,-13.839379506712934,19.62006398385863,NA,NA,NA,368,16
"secondary_only_vs_local_controls","secondary","weekend_share","did",-0.011740209713570019,0.015237061144448547,0.45296688957037734,-0.04421723676557138,0.020736817338431343,NA,NA,NA,-1.1740209713570018,-4.4217236765571375,2.0736817338431344,368,16
"secondary_only_vs_local_controls","secondary","night_share","did",0.012188618857013377,0.008911849627964047,0.1915534848868338,-0.00680653898260764,0.031183776696634392,NA,NA,NA,1.2188618857013378,-0.6806538982607641,3.118377669663439,368,16
"secondary_only_vs_local_controls","secondary","night_tx_share","did",0.005571307065629608,0.0031559566763262855,0.09785103051584505,-0.0011554553579323917,0.012298069489191607,NA,NA,NA,0.5571307065629608,-0.11554553579323917,1.2298069489191608,368,16
