"outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","hypothesis","treated_group","n_obs","n_units"
"log_total_riders","did",-0.03483273707434741,0.02966629171852592,0.2407984052111442,-0.0930947362634056,0.023429262114710775,-3.423306024741468,-8.889281868248366,2.3705883395984673,NA,NA,NA,"bus_substitution","Shinbundang corridor bus stops",41651,603
"log_total_board","did",-0.01291199152624879,0.04004431393345275,0.7472293866346476,-0.09155551758785871,0.06573153453536112,-1.2828989388687262,-8.748934564471133,6.793997367611393,NA,NA,NA,"bus_substitution","Shinbundang corridor bus stops",41651,603
"log_total_alight","did",-0.049588111199773986,0.03485111930966377,0.15529599281226653,-0.11803265776537666,0.0188564353658287,-4.8378694052639615,-11.133296973865491,1.9035340679444346,NA,NA,NA,"bus_substitution","Shinbundang corridor bus stops",41651,603
"log_morning_alight","did",-0.06453683477255782,0.034723441684080675,0.06357232855065544,-0.13273063366168103,0.003656964116565367,-6.249841903146692,-12.42990553010932,0.366365896829679,NA,NA,NA,"bus_substitution","Shinbundang corridor bus stops",41651,603
"log_evening_board","did",-0.011699680416247901,0.04011878786312962,0.7706730773030598,-0.09048946675439012,0.06709010592189432,-1.1631505290075617,-8.651604419885494,6.939183237041524,NA,NA,NA,"bus_substitution","Shinbundang corridor bus stops",41651,603
"log_late_night_total","did",-0.020109483343537425,0.03198390235945759,0.5297593129981233,-0.08292306688845871,0.04270410020138387,-1.9908636246917744,-7.957804457869633,4.362903953512487,NA,NA,NA,"bus_substitution","Shinbundang corridor bus stops",41651,603
