"day_group","outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","hypothesis","n_obs","n_units"
"Mon/Fri","log_riders","did",-0.10805265170869004,0.05544412864430103,0.06309489242834701,-0.22248370906838214,0.0063784056510020615,-10.241966395210367,-19.947195200831047,0.6398790999285753,NA,NA,NA,"subway_midweek_commute",18050,25
"Tue-Thu","log_riders","did",-0.12017791011356617,0.052995101451941105,0.03263144931727573,-0.2295544237735587,-0.010801396453573642,-11.323734136288877,-20.511229332794066,-1.074327083841109,NA,NA,NA,"subway_midweek_commute",27075,25
"Weekend","log_riders","did",-0.1246763419026233,0.0822709093128549,0.14272287895824465,-0.29447515329725427,0.04512246949200763,-11.721742391919687,-25.507754502152903,4.615597425423501,NA,NA,NA,"subway_midweek_commute",18025,25
