"outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","hypothesis","treated_group","n_obs","n_units"
"log_total_population","did",-0.03809773763239245,0.020935861333687057,0.08881256609432288,-0.0827214697579822,0.006525994493197296,-3.738114779423918,-7.939247144877914,0.6547335193099135,NA,NA,NA,"secondary_living_population","secondary",752,16
"age20_30_share","did",0.009198188076144689,0.0029086904611389224,0.006442053593346412,0.0029984611145760804,0.015397915037713298,NA,NA,NA,0.9198188076144689,0.29984611145760803,1.5397915037713297,"secondary_living_population","secondary",752,16
"age40_50_share","did",0.002950624192588025,0.0043946379306205085,0.512164561840932,-0.006416324827532808,0.01231757321270886,NA,NA,NA,0.2950624192588025,-0.6416324827532808,1.2317573212708859,"secondary_living_population","secondary",752,16
"age60plus_share","did",-5.337496696057483e-4,0.0011419652990315259,0.6469345760829508,-0.002967791087271527,0.00190029174806003,NA,NA,NA,-0.053374966960574824,-0.2967791087271527,0.190029174806003,"secondary_living_population","secondary",752,16
"male_share","did",0.0013194813232388282,0.0031461010953048054,0.6808670150010919,-0.00538627442663371,0.008025237073111367,NA,NA,NA,0.13194813232388283,-0.538627442663371,0.8025237073111366,"secondary_living_population","secondary",752,16
"after_work_share","did",2.0363125523310675e-4,0.0020167282922452143,0.9209106903892381,-0.004094923346790497,0.00450218585725671,NA,NA,NA,0.020363125523310675,-0.40949233467904966,0.45021858572567097,"secondary_living_population","secondary",752,16
"late_night_share","did",0.005935651113703721,0.006092021489573991,0.34534359467741127,-0.007049185321789146,0.018920487549196587,NA,NA,NA,0.5935651113703722,-0.7049185321789146,1.8920487549196587,"secondary_living_population","secondary",752,16
