"window","control_set","coef_log","se","p_value","pct_effect","ci_low_pct","ci_high_pct","n_obs","n_units"
"2018_2024","all_controls",-0.11672832601411415,0.058342004717864195,0.05685257833777756,-11.017309684970577,-21.111940413957754,0.3690446595971064,2075,25
"2018_2024","drop_9line_phase_controls",-0.08396653005216603,0.062330056883554925,0.19229693797172734,-8.053797007370056,-19.231970986552007,4.671419471611604,1826,22
"2018_2024","core_area_controls",-0.186898568756767,0.043021071616483525,5.020840259578597e-4,-17.047212783829657,-24.27782732031305,-9.126156006651964,1411,17
"2019_2024","all_controls",-0.11404093452876782,0.05237217994963471,0.03950254505481024,-10.77785675290156,-19.919019047226428,-0.5932401065319226,1775,25
"2019_2024","drop_9line_phase_controls",-0.08836160763062582,0.057183826965271224,0.13723042910121955,-8.457020953226014,-18.720949647554953,3.1030379466780778,1562,22
"2019_2024","core_area_controls",-0.17274731592880854,0.03539369788217668,1.6658812751535373e-4,-15.864981622316499,-21.946726873527044,-9.30935969919895,1207,17
"2020_2024","all_controls",-0.1138737574725297,0.050922233131260417,0.03489582485315034,-10.762939610775046,-19.665585374448412,-0.8737042022666786,1475,25
"2020_2024","drop_9line_phase_controls",-0.0923651440037991,0.05528364456351349,0.1096091198002523,-8.822783938294531,-18.725167168439548,2.286088314594803,1298,22
"2020_2024","core_area_controls",-0.16049326367969116,0.039423191825035744,8.889639658033356e-4,-14.827643896465192,-21.656462022365464,-7.403591521507424,1003,17
"2021_2024","all_controls",-0.10638083239898877,0.04512488755248147,0.02689200572967281,-10.09178167555216,-18.087126583791857,-1.3160278091637,1175,25
"2021_2024","drop_9line_phase_controls",-0.088803490675704,0.04838127293195861,0.08063585690093561,-8.497463307509335,-17.255931635055678,1.1880898124634331,1034,22
"2021_2024","core_area_controls",-0.14143477694768913,0.0371053857387067,0.0015343722761801456,-13.188820536056866,-19.755718156623935,-6.084512107288154,799,17
