"rel_month","month_str","coef_log","se","ci_low_log","ci_high_log","pct_effect"
-53,"2018-01",0.05733139115018879,0.08880415110082421,-0.1259513685734001,0.2406141508737777,5.900669769942346
-52,"2018-02",0.056994562713891896,0.08746597464796746,-0.1235263365534415,0.23751546198122528,5.865005419661795
-51,"2018-03",0.015659663255574035,0.08216002313925823,-0.15391029032486633,0.18522961683601438,1.578291831934564
-50,"2018-04",-0.006787850746016382,0.07884919088477485,-0.1695245823986368,0.15594888090660405,-0.6764865323751312
-49,"2018-05",-0.00566799758943445,0.07915312342943075,-0.16903201518380212,0.1576960200049332,-0.5651964796676623
-48,"2018-06",0.004650127782903951,0.07824231932396544,-0.156834082528269,0.16613433809407688,0.4660956405422523
-47,"2018-07",0.025305575163423813,0.08552982855689165,-0.15121931497143648,0.20183046529828408,2.562847923482514
-46,"2018-08",0.03174677221064995,0.08117263660349248,-0.1357853157188526,0.1992788601401525,3.225607628172855
-45,"2018-09",0.005401466957892034,0.0770144385908705,-0.15354852207439548,0.16435145599017956,0.541608118144099
-44,"2018-10",-0.013205277643571054,0.07543394682763434,-0.1688932919990505,0.14248273671190842,-1.3118470489053569
-43,"2018-11",-0.00957072075693008,0.07296275073426309,-0.16015843704979982,0.14101699553593966,-0.9525067171021084
-42,"2018-12",0.023488418395529103,0.071256545877731,-0.1235778641481013,0.1705547009391595,2.3766443819945415
-41,"2019-01",0.053028632958692194,0.07392447447747555,-0.09954398358447727,0.20560124950186168,5.445983699206769
-40,"2019-02",0.05306680921021663,0.07427280469073504,-0.10022472555907068,0.20635834397950392,5.450009308443549
-39,"2019-03",0.0022929902982053094,0.0676275954813873,-0.1372835067421919,0.14186948733860252,0.22956212109606078
-38,"2019-04",-0.026618986298819,0.06132734380152804,-0.15319240295926012,0.0999544303616221,-2.6267823845343097
-37,"2019-05",-0.01960333248413042,0.06400655581289316,-0.15170637096112455,0.1124997059928637,-1.9412436595510063
-36,"2019-06",-0.0016119200384752778,0.06632083858715411,-0.13849140340446708,0.13526756332751655,-0.16106215931270818
-35,"2019-07",0.02586413235180692,0.07076780508509888,-0.12019343877290113,0.17192170347651498,2.6201511415235856
-34,"2019-08",0.037531451027595364,0.06946438992631027,-0.1058360034256847,0.18089890548087542,3.8244650429483107
-33,"2019-09",-0.021871935423950137,0.0582955754043919,-0.14218808965035268,0.0984442188024524,-2.1634479005638863
-32,"2019-10",-0.039998228882337096,0.05897289555528006,-0.16171230319391938,0.0817158454292452,-3.9208859175023814
-31,"2019-11",-0.02024949239308187,0.05753113644406176,-0.13898792214880662,0.09848893736264289,-2.0045848301534663
-30,"2019-12",0.008452610904623912,0.06406751159760209,-0.12377623412875387,0.1406814559380017,0.8488435084991197
-29,"2020-01",0.045461664985722294,0.06281339548857275,-0.0841788116141153,0.1751021415855599,4.651088583522633
-28,"2020-02",0.0516960363856919,0.05424321396639831,-0.06025645489763878,0.16364852766902258,5.305560327325098
