"spec","outcome","coef","se","p_value","pct_effect_if_log","effect_points_if_share","n_obs","n_units"
"core_local_controls","log_sales",-0.1005962862967744,0.06336764969031086,0.1308230627808735,-9.570196328839597,NA,414,18
"core_local_controls","log_transactions",-0.11247710169236624,0.07108451097130733,0.13200609447977013,-10.638219079025667,NA,414,18
"core_local_controls","night_share",0.014077056996274866,0.006621142845205752,0.04844613371306054,NA,0.014077056996274866,414,18
"core_local_controls","night_tx_share",0.007811777734523493,0.009769388567275229,0.43496361166997977,NA,0.007811777734523493,414,18
"core_gangnam_seocho_controls","log_sales",-0.06179227358080518,0.05050855884626811,0.2291256347262606,-5.992185442287335,NA,851,37
"core_gangnam_seocho_controls","log_transactions",-0.08377246993594217,0.06725259427650772,0.2209432790742276,-8.035952185102824,NA,851,37
"core_gangnam_seocho_controls","night_share",0.022279094827462535,0.006448747877314903,0.001427851579494003,NA,0.022279094827462535,851,37
"core_gangnam_seocho_controls","night_tx_share",0.009405781024088932,0.009306427306231923,0.31891668234843923,NA,0.009405781024088932,851,37
"core_all_seoul_controls","log_sales",-0.07529357290690505,0.038871032264020965,0.05341439881110642,-7.252883404869259,NA,9675,421
"core_all_seoul_controls","log_transactions",-0.09832614449862605,0.06269638761225164,0.11756643162832814,-9.364674658323757,NA,9675,421
"core_all_seoul_controls","night_share",0.02347540878621081,0.005957894408292426,9.532177888071407e-5,NA,0.02347540878621081,9675,421
"core_all_seoul_controls","night_tx_share",0.01257133132576329,0.008913507543936532,0.15917102991408089,NA,0.01257133132576329,9675,421
"extended_local_controls","log_sales",-0.04139593690905057,0.06043017331723483,0.5011934623255402,-4.055082660675369,NA,483,21
"extended_local_controls","log_transactions",-0.09603785564117502,0.04788086139453362,0.05859891967564014,-9.157037376817778,NA,483,21
"extended_local_controls","night_share",0.007396927322185239,0.005597296494107465,0.2012476292875871,NA,0.007396927322185239,483,21
"extended_local_controls","night_tx_share",0.005752502806189313,0.007354271681332557,0.4432605768795257,NA,0.005752502806189313,483,21
"extended_gangnam_seocho_controls","log_sales",-0.002591924193081909,0.04751090571179844,0.9567720622842079,-0.25885680578128234,NA,920,40
"extended_gangnam_seocho_controls","log_transactions",-0.06733322388474984,0.04416630239290811,0.1354433087777114,-6.5116376125803015,NA,920,40
"extended_gangnam_seocho_controls","night_share",0.015598965153372783,0.0054930864306558394,0.00713703149159279,NA,0.015598965153372783,920,40
"extended_gangnam_seocho_controls","night_tx_share",0.007346506095754706,0.0069504031711950355,0.29701976466617525,NA,0.007346506095754706,920,40
