"outcome","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","effect_points_if_share","n_obs","n_units"
"log_sales",-0.10059628629677508,0.06336764969031129,0.1308230627808735,-0.2342903407440784,0.03309776815052823,-9.570196328839664,NA,414,18
"log_transactions",-0.11247710169236716,0.07108451097130782,0.13200609447976966,-0.26245231028229565,0.03749810689756136,-10.638219079025745,NA,414,18
"log_avg_ticket",0.011881239256778607,0.06548365311734991,0.8581693098591003,-0.12627719218363945,0.15003967069719668,1.1952101545767313,NA,414,18
"weekend_share",-0.008378826846657283,0.009340954462264352,0.38224692029605034,-0.028086518082974243,0.011328864389659679,NA,-0.008378826846657283,414,18
"night_share",0.014077056996274961,0.006621142845205797,0.04844613371306056,1.0766667840016349e-4,0.028046447314149757,NA,0.014077056996274961,414,18
"night_tx_share",0.0078117777345235485,0.009769388567275293,0.43496361166997954,-0.01279983045062057,0.028423385919667667,NA,0.0078117777345235485,414,18
