"month","treated_log","synthetic_log","gap_log","period"
"2018-01-01",11.23924478958756,11.249306237827513,-0.010061448239953918,"pre"
"2018-02-01",11.193734241973331,11.18544334722335,0.008290894749981348,"pre"
"2018-03-01",11.251660680224862,11.251465385154521,1.9529507034121707e-4,"pre"
"2018-04-01",11.233935453060203,11.254763242279994,-0.02082778921979056,"pre"
"2018-05-01",11.21673053763894,11.222465024200796,-0.005734486561856045,"pre"
"2018-06-01",11.214459841097272,11.213261433766574,0.0011984073306976484,"pre"
"2018-07-01",11.25594172944011,11.263757111087681,-0.007815381647571229,"pre"
"2018-08-01",11.214423900900908,11.21156460641368,0.0028592944872283255,"pre"
"2018-09-01",11.134392850095143,11.124749568467271,0.009643281627871758,"pre"
"2018-10-01",11.228478393300197,11.245623523472283,-0.017145130172085743,"pre"
"2018-11-01",11.279487845366285,11.304378268094403,-0.024890422728118367,"pre"
"2018-12-01",11.265880824249246,11.249756092925908,0.01612473132333747,"pre"
"2019-01-01",11.292729210616919,11.283723214358604,0.009005996258315108,"pre"
"2019-02-01",11.206274546560973,11.177903863882905,0.028370682678067638,"pre"
"2019-03-01",11.248539770215356,11.248847833325556,-3.0806311020015187e-4,"pre"
"2019-04-01",11.273068322134986,11.29763393024724,-0.024565608112254722,"pre"
"2019-05-01",11.267723433952591,11.269409375167182,-0.0016859412145908692,"pre"
"2019-06-01",11.231713176060612,11.221922332799105,0.009790843261507476,"pre"
"2019-07-01",11.309677285396573,11.311903994244286,-0.0022267088477132546,"pre"
"2019-08-01",11.254933313943601,11.235669466183719,0.019263847759882324,"pre"
"2019-09-01",11.179767410572433,11.185341307086356,-0.005573896513922705,"pre"
"2019-10-01",11.262162845093725,11.271032554878651,-0.008869709784926627,"pre"
"2019-11-01",11.291490205756778,11.297829175206394,-0.006338969449615206,"pre"
"2019-12-01",11.3054457837631,11.295048069871369,0.010397713891730831,"pre"
"2020-01-01",11.217914919108004,11.195251312489178,0.022663606618825938,"pre"
"2020-02-01",11.117826753209108,11.104200109436157,0.013626643772951752,"pre"
"2020-03-01",10.84480816291662,10.813595374111031,0.031212788805587977,"pre"
"2020-04-01",10.928787048356456,10.893364170129441,0.035422878227015175,"pre"
"2020-05-01",10.96739751074397,10.94827457983659,0.019122930907379043,"pre"
"2020-06-01",11.051734520591122,11.063763764941728,-0.012029244350605595,"pre"
"2020-07-01",11.113478686456306,11.112880122246455,5.98564209850494e-4,"pre"
"2020-08-01",10.911962278582957,10.920089892093612,-0.008127613510655607,"pre"
"2020-09-01",10.82602967783481,10.852342217069246,-0.02631253923443566,"pre"
"2020-10-01",10.967231173535366,10.936549844030495,0.030681329504870902,"pre"
"2020-11-01",11.03092386630346,11.02566065770349,0.005263208599970426,"pre"
"2020-12-01",10.754102383613775,10.794658801037244,-0.040556417423468716,"pre"
"2021-01-01",10.82425547536818,10.82669001730657,-0.002434541938390211,"pre"
"2021-02-01",10.951436728435699,10.921015949374437,0.03042077906126117,"pre"
"2021-03-01",11.041344014754742,11.042949518758292,-0.0016055040035496404,"pre"
"2021-04-01",11.046539262995083,11.057796441206579,-0.011257178211495855,"pre"
"2021-05-01",10.985656122698476,10.977177505165129,0.008478617533347332,"pre"
"2021-06-01",11.062497867350544,11.083510724043562,-0.021012856693017667,"pre"
"2021-07-01",10.91967834527579,10.921457109061569,-0.001778763785779347,"pre"
"2021-08-01",10.86423152502508,10.867729853145919,-0.003498328120839389,"pre"
"2021-09-01",10.872508185733665,10.885225089339935,-0.01271690360626998,"pre"
"2021-10-01",10.954934786536008,10.953380334872293,0.0015544516637149286,"pre"
"2021-11-01",11.08279559613622,11.114092617130714,-0.03129702099449361,"pre"
"2021-12-01",11.044803089785328,11.066026481987636,-0.021223392202308844,"pre"
"2022-01-01",11.014256183451577,11.011306286258876,0.002949897192701556,"pre"
"2022-02-01",10.936363727607446,10.9264964029092,0.009867324698246804,"pre"
"2022-03-01",10.920395106899424,10.91320020743402,0.007194899465403637,"pre"
"2022-04-01",11.05658483146192,11.056622391979266,-3.756051734526977e-5,"pre"
"2022-06-01",11.045984262225934,11.136213233121952,-0.09022897089601756,"post"
"2022-07-01",11.057779849499424,11.14103050403508,-0.0832506545356555,"post"
"2022-08-01",10.998477400062091,11.109460143557259,-0.11098274349516757,"post"
"2022-09-01",11.001740364044974,11.11146802341012,-0.10972765936514683,"post"
"2022-10-01",11.018849869516515,11.116074184277776,-0.09722431476126125,"post"
"2022-11-01",11.067886307122,11.20437174439246,-0.13648543727046025,"post"
"2022-12-01",11.071415606117938,11.191052877003942,-0.11963727088600429,"post"
"2023-01-01",10.99287641020124,11.096502151036855,-0.10362574083561427,"post"
"2023-02-01",11.119001798662396,11.218999173425235,-0.09999737476283954,"post"
"2023-03-01",11.08888976380129,11.210071357393236,-0.12118159359194536,"post"
"2023-04-01",11.05263766889372,11.181284133444564,-0.12864646455084383,"post"
"2023-05-01",11.033520452349093,11.163821570188137,-0.13030111783904452,"post"
"2023-06-01",11.06379007888677,11.19747563452839,-0.13368555564161966,"post"
"2023-07-01",11.053358958052653,11.184959714702329,-0.13160075664967508,"post"
"2023-08-01",11.012281662283948,11.157062464638793,-0.1447808023548447,"post"
"2023-09-01",11.003568305916003,11.128095619800922,-0.12452731388491856,"post"
