"outcome","rel_q","qstr","coef","se","ci_low","ci_high"
"log_sales",-13,"2019Q1",0.05051951414894991,0.06695637010127754,-0.09074607852589837,0.19178510682379818
"log_sales",-12,"2019Q2",-0.013380193383946179,0.07586989239484539,-0.17345167424712843,0.1466912874792361
"log_sales",-11,"2019Q3",-0.030226822538515705,0.06142465085621474,-0.15982150777793014,0.09936786270089872
"log_sales",-10,"2019Q4",-0.02644823327831368,0.07477562748754125,-0.18421101699378933,0.131314550437162
"log_sales",-9,"2020Q1",0.05005557123690936,0.062448171078063115,-0.08169855291078819,0.1818096953846069
"log_sales",-8,"2020Q2",-0.03260464255503365,0.0701155264455633,-0.18053547249786697,0.11532618738779968
"log_sales",-7,"2020Q3",-0.03225446489402746,0.06640063465874886,-0.17234755827507464,0.10783862848701971
"log_sales",-6,"2020Q4",-0.06412293638182638,0.07108056277109696,-0.21408981499744567,0.0858439422337929
"log_sales",-5,"2021Q1",-0.01978600308419924,0.04553098709826013,-0.11584798893823622,0.07627598276983774
"log_sales",-4,"2021Q2",-0.08615931031872341,0.03826267804599394,-0.16688650450978226,-0.00543211612766456
"log_sales",-3,"2021Q3",-0.11384672202419657,0.03557412003077949,-0.18890155463284736,-0.03879188941554579
"log_sales",-2,"2021Q4",-0.07557909031806495,0.036644997188505904,-0.1528932762360328,0.0017350955999028972
"log_sales",-1,"2022Q1/ref",0,0,0,0
"log_sales",0,"2022Q2",-0.08045768378932638,0.026743526698079865,-0.1368815930231365,-0.024033774555516287
"log_sales",1,"2022Q3",-0.09625425727367995,0.042173143898285186,-0.18523181323648813,-0.007276701310871783
"log_sales",2,"2022Q4",-0.13201779361377391,0.03658169715892746,-0.20919842814325984,-0.05483715908428799
"log_sales",3,"2023Q1",-0.07054209461188238,0.04888878336918371,-0.17368841134550456,0.03260422212173979
"log_sales",4,"2023Q2",-0.17595670315287268,0.0568380905670062,-0.29587459204544325,-0.05603881426030212
"log_sales",5,"2023Q3",-0.10734648192388724,0.06130291116386511,-0.23668431886394178,0.021991355016167308
"log_sales",6,"2023Q4",-0.12568960917255903,0.05315398382662871,-0.23783471227388045,-0.01354450607123761
"log_sales",7,"2024Q1",-0.0926771371202572,0.05438070815350449,-0.20741040231612823,0.022056128075613815
"log_sales",8,"2024Q2",-0.17369900950182232,0.06003913664752485,-0.30037051528043346,-0.04702750372321121
"log_sales",9,"2024Q3",-0.16999938699001693,0.0650520222932121,-0.307247156993796,-0.03275161698623788
"log_sales",10,"2024Q4",-0.16472910760008042,0.05887603220666591,-0.28894667751072023,-0.04051153768944063
"log_transactions",-13,"2019Q1",0.14778051721679553,0.08304180143997372,-0.027422369072602176,0.32298340350619326
"log_transactions",-12,"2019Q2",0.10467051210622845,0.08727633382915567,-0.07946645658270506,0.28880748079516194
"log_transactions",-11,"2019Q3",0.10749288740401657,0.07481873535377669,-0.05036084595916977,0.2653466207672029
"log_transactions",-10,"2019Q4",0.09816752398849676,0.07240319916933306,-0.05458987350393038,0.25092492148092393
"log_transactions",-9,"2020Q1",0.12803393975081895,0.06269444461921708,-0.004239776150413405,0.2603076556520513
"log_transactions",-8,"2020Q2",0.08846401892543254,0.081214084327963,-0.0828827213291724,0.2598107591800375
"log_transactions",-7,"2020Q3",0.08224398398157551,0.07653819853811208,-0.07923749959343254,0.24372546755658356
"log_transactions",-6,"2020Q4",0.05811615083156706,0.0785586675843015,-0.10762814981162143,0.22386045147475553
"log_transactions",-5,"2021Q1",0.012155041424040572,0.03667239311198904,-0.06521694484006112,0.08952702768814226
"log_transactions",-4,"2021Q2",-0.016265756679775575,0.029849452040347658,-0.07924259558428953,0.04671108222473838
"log_transactions",-3,"2021Q3",-0.03935377095730394,0.029217084373748658,-0.10099643070790923,0.022288888793301348
"log_transactions",-2,"2021Q4",-0.005143427793576169,0.02076570668333646,-0.04895523923879684,0.0386683836516445
"log_transactions",-1,"2022Q1/ref",0,0,0,0
"log_transactions",0,"2022Q2",-0.014450135980740006,0.02510546312616362,-0.06741803317303993,0.03851776121155991
"log_transactions",1,"2022Q3",-0.03254040890093671,0.028822533014263903,-0.09335063804704574,0.028269820245172335
"log_transactions",2,"2022Q4",-0.038579381473182586,0.025231545210271582,-0.09181328861061917,0.014654525664254
"log_transactions",3,"2023Q1",-0.022451769767535767,0.031145506335624847,-0.08816304421394333,0.043259504678871796
"log_transactions",4,"2023Q2",-0.07672902810379556,0.04392893097896203,-0.1694109710007742,0.015952914793183087
"log_transactions",5,"2023Q3",-0.06692045823447867,0.04290366469068014,-0.15743927834501287,0.023598361876055504
"log_transactions",6,"2023Q4",-0.061746604656218784,0.044045669051628066,-0.15467484335743448,0.03118163404499691
"log_transactions",7,"2024Q1",-0.03217016383040301,0.053283693429419736,-0.1445889302722875,0.08024860261148148
"log_transactions",8,"2024Q2",-0.0716888605422497,0.05729184061125289,-0.1925640783466145,0.049186357262115094
"log_transactions",9,"2024Q3",-0.0622255646872171,0.05866855470988681,-0.18600539534310248,0.06155426596866828
"log_transactions",10,"2024Q4",-0.07020983811356751,0.05633534234742781,-0.18906702098074363,0.0486473447536086
"night_share",-13,"2019Q1",0.022764009512535176,0.006818595920577866,0.008378029620349291,0.03714998940472106
"night_share",-12,"2019Q2",0.0242462385095004,0.00815460615573936,0.0070415234110260405,0.04145095360797476
"night_share",-11,"2019Q3",0.024972043355855136,0.00726040242815237,0.009653933211600428,0.040290153500109845
"night_share",-10,"2019Q4",0.029247176297871998,0.009822809514940651,0.00852285976516089,0.04997149283058311
"night_share",-9,"2020Q1",0.019506035797240816,0.007006762867058423,0.004723058350136923,0.03428901324434471
"night_share",-8,"2020Q2",0.0215153194650836,0.0061024197266166275,0.008640339263390513,0.03439029966677669
"night_share",-7,"2020Q3",0.016474726320851032,0.005759118065104798,0.004324049312511661,0.028625403329190405
"night_share",-6,"2020Q4",0.016536145450072294,0.005643872036346466,0.004628616308490678,0.02844367459165391
"night_share",-5,"2021Q1",0.007980001749935265,0.0035709035626748822,4.4605378646331035e-4,0.015513949713407221
"night_share",-4,"2021Q2",0.01331518301451096,0.0027467977695024457,0.007519946291256892,0.019110419737765026
"night_share",-3,"2021Q3",0.002108393366432846,0.002882943603831758,-0.003974085958946318,0.008190872691812009
"night_share",-2,"2021Q4",0.017012078546894193,0.005023362147425392,0.00641371083515788,0.027610446258630506
"night_share",-1,"2022Q1/ref",0,0,0,0
"night_share",0,"2022Q2",0.027969206598391673,0.005353417577349842,0.016674482799052284,0.03926393039773106
"night_share",1,"2022Q3",0.02785561132105498,0.005039794218179638,0.0172225749704653,0.03848864767164466
"night_share",2,"2022Q4",0.0334852499314681,0.006437806981087827,0.019902664475684926,0.047067835387251275
"night_share",3,"2023Q1",0.029202376701011258,0.007415350355249404,0.013557355006414248,0.044847398395608265
"night_share",4,"2023Q2",0.0347068049645952,0.0065564371416744205,0.020873931748005566,0.04853967818118484
"night_share",5,"2023Q3",0.026096990760800617,0.00901195671510534,0.00708342409651181,0.045110557425089425
"night_share",6,"2023Q4",0.029163001332934615,0.007558759596309497,0.013215412587543766,0.04511059007832546
"night_share",7,"2024Q1",0.026304356315079522,0.00727843102130201,0.010948209164151287,0.04166050346600776
"night_share",8,"2024Q2",0.03187424078792286,0.00769971295676987,0.01562926644688476,0.04811921512896095
"night_share",9,"2024Q3",0.030836503683951556,0.007947928126762982,0.014067841110607448,0.04760516625729566
"night_share",10,"2024Q4",0.03715108907684558,0.006749778453194149,0.022910301349372893,0.05139187680431826
"night_tx_share",-13,"2019Q1",0.0394294843207471,0.00818703239326902,0.022156355841202145,0.05670261280029206
"night_tx_share",-12,"2019Q2",0.03736559022447547,0.009232340391597064,0.017887054646424243,0.05684412580252669
"night_tx_share",-11,"2019Q3",0.035028289322585726,0.008182291742216836,0.01776516274247974,0.052291415902691714
"night_tx_share",-10,"2019Q4",0.04103669768579767,0.00978475700467858,0.02039266493201314,0.06168073043958221
"night_tx_share",-9,"2020Q1",0.031312233993795,0.006917529017765017,0.016717523512000364,0.045906944475589635
"night_tx_share",-8,"2020Q2",0.023844666761351933,0.004360255454425971,0.014645331880271333,0.033044001642432534
"night_tx_share",-7,"2020Q3",0.017865291424748877,0.004686153294460598,0.007978372203980991,0.027752210645516764
"night_tx_share",-6,"2020Q4",0.016606207191476225,0.004601305025836429,0.006898302169603795,0.026314112213348655
"night_tx_share",-5,"2021Q1",-1.810277232932563e-4,0.0023998899866099002,-0.005244353002129013,0.004882297555542501
"night_tx_share",-4,"2021Q2",0.0061590761521568135,0.0046945658539380404,-0.0037455920176460303,0.016063744321959658
"night_tx_share",-3,"2021Q3",-0.00327417228916681,0.003946904897891531,-0.01160141372696498,0.005053069148631358
"night_tx_share",-2,"2021Q4",0.0188243479258853,0.005823029048950455,0.006538830528233709,0.031109865323536892
"night_tx_share",-1,"2022Q1/ref",0,0,0,0
"night_tx_share",0,"2022Q2",0.02958704780953412,0.010993866346561285,0.00639201733094167,0.05278207828812657
"night_tx_share",1,"2022Q3",0.028757183602600184,0.01120296837552705,0.00512098640593921,0.05239338079926116
"night_tx_share",2,"2022Q4",0.03305451560323873,0.010945210791105922,0.009962139373494137,0.056146891832983326
"night_tx_share",3,"2023Q1",0.0309491370861937,0.011287426017466358,0.007134749840902104,0.05476352433148529
"night_tx_share",4,"2023Q2",0.02816838001568391,0.01168081757869102,0.0035240091263323524,0.05281275090503547
"night_tx_share",5,"2023Q3",0.02539383771826618,0.012649725117901528,-0.001294749390791848,0.05208242482732421
"night_tx_share",6,"2023Q4",0.02931182512639976,0.012802646956358268,0.0023006011403747875,0.05632304911242473
"night_tx_share",7,"2024Q1",0.028034451748345197,0.01294369111951892,7.256505897214188e-4,0.055343252906968975
"night_tx_share",8,"2024Q2",0.02404459762655311,0.012242034574366253,-0.0017838376228188658,0.04987303287592508
"night_tx_share",9,"2024Q3",0.02253135027869065,0.011978900429258157,-0.0027419204522724124,0.047804621009653714
"night_tx_share",10,"2024Q4",0.030962256224314443,0.011930251804672087,0.005791625119343235,0.05613288732928565
