"outcome","coef_log","se","p_value","pct_effect","ci_low_pct","ci_high_pct","n_obs","n_units"
"total",-0.11672807726411419,0.05834168214045417,0.056851797754689515,-11.017287550523614,-21.11186826944904,0.3690028040026494,2075,25
"morning_peak",-0.12999453438419617,0.0474865322829611,0.011473766880774615,-12.189976973405848,-20.387726876918823,-3.14809712806029,2075,25
"evening_peak",-0.10406866348721568,0.056201676927193536,0.07641113124962663,-9.883658172603981,-19.75319386079173,1.1997293732070258,2075,25
"late_night",-0.040307974925910234,0.07289151081116173,0.5853876938617069,-3.9506414343947305,-17.36597449630286,11.642622087331954,2075,25
"daytime",-0.13485786231893507,0.06952172195650899,0.06424449914973403,-12.615989153205664,-24.29633744867098,0.8665247404019638,2075,25
